X,Y,fid,Localidad,Provincia,Región,Longitud,Latitud,Siglo,Ficha BD,icon_url
-0.893495358141023,40.3246225891159,"1",Forniche Alto,Teruel,Aragón,"-0.893495358141023","40.32462258911587",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=147""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/147.jpg""></a>",./0.png
-4.96886808879497,41.8557299526189,"2",Valdenebro,Valladolid,Castilla-León,"-4.968868088794971","41.85572995261892",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=204""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/204.jpg""></a>",./0.png
-5.07328594640474,41.9855822667983,"3",Moral de la Reina,Valladolid,Castilla-León,"-5.07328594640474","41.98558226679828",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=208""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/208.jpg""></a>",./0.png
-5.21850228694389,41.8939504246405,"4",Villafrechós,Valladolid,Castilla-León,"-5.21850228694389","41.893950424640465",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=209""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/209.jpg""></a>",./0.png
-5.19316531763323,41.7812974792299,"5",Villagarcía de Campos,Valladolid,Castilla-León,"-5.1931653176332295","41.78129747922993",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=210""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/210.jpg""></a>",./0.png
-2.63989608835834,41.5051042745011,"6",Matamala de Almazán,Soria,Castilla-León,"-2.639896088358338","41.50510427450107",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=235""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/235.jpg""></a>",./0.png
-3.04817138619857,42.8099425308314,"7",Espejo,Álava,Euskadi,"-3.0481713861985673","42.80994253083143",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=241""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/241.jpg""></a>",./0.png
-2.98886834609457,42.8025027096738,"8",Salinas de Añana,Álava,Euskadi,"-2.988868346094566","42.80250270967383",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=243""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/243.jpg""></a>",./0.png
-6.72256420190132,43.5389831209248,"9",Navia,Asturias,Asturias,"-6.722564201901324","43.53898312092483",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=253""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/253.jpg""></a>",./0.png
-0.694127124480861,40.5768044026245,"10",Miravete de la Sierra,Teruel,Aragón,"-0.6941271244808606","40.57680440262454",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=583""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/583.jpg""></a>",./0.png
-0.796222929197488,40.5902560108487,"11",Aguilar del Alfambra,Teruel,Aragón,"-0.7962229291974877","40.590256010848734",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=586""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/586.jpg""></a>",./0.png
-3.67796428139549,43.3767585016627,"12",Entrambasaguas,Cantabria,Cantabria,"-3.6779642813954947","43.37675850166275",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=594""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/594.jpg""></a>",./0.png
-2.26675763251762,37.5950193339104,"13",Chirivel,Almería,Andalucía,"-2.266757632517616","37.59501933391042",Desconocido,"<a title=""Ficha→BD"" target=""_blank"" href=""http://teatroengalicia.es/bases/articulados/index.php?-action=browse&-table=articulados&-mode=find&-edit=1&Registro=614""><img src=""http://teatroengalicia.es/bases/articulados/imagenes/tn/614.jpg""></a>",./0.png
